store_number,bottles_sold
2178,0.01774622892635315
2465,0.08873114463176575
2512,1.3842058562555457
2515,1.1712511091393079
2522,0.8518189884649512
2538,0.3194321206743567
2544,0.1064773735581189
2562,1.9165927240461405
2571,3.21206743566992
2576,0.0709849157054126
2587,0.8518189884649512
2591,0.0709849157054126
2593,0.5323868677905945
2601,0.1064773735581189
2616,0.4259094942324756
2619,1.5971606033717833
2633,4.578527062999113
2636,0.4259094942324756
2641,0.0354924578527063
2643,0.0354924578527063
2647,0.6388642413487134
2665,1.4906832298136645
2670,0.8518189884649512
2843,0.12422360248447205
3162,0.0709849157054126
3385,3.833185448092281
3447,8.305235137533275
3494,13.629103815439219
3524,5.110913930789708
3549,0.6388642413487134
3705,0.08873114463176575
3772,0.8518189884649512
3869,0.01774622892635315
3963,0.0709849157054126
3993,0.19520851818988466
4057,0.8518189884649512
4136,1.9165927240461405
4152,0.0354924578527063
4153,1.064773735581189
4156,0.1419698314108252
4158,0.0709849157054126
4167,0.0709849157054126
4291,0.08873114463176575
4312,0.8518189884649512
4559,0.5323868677905945
4829,5.323868677905945
4867,0.12422360248447205
4898,0.4259094942324756
4962,0.05323868677905945
4971,1.8101153504880212
5003,0.0354924578527063
5063,0.4259094942324756
5102,27.684117125110912
5113,0.4259094942324756
5146,1.277728482697427
5166,0.4259094942324756
5204,0.8518189884649512
5244,0.0354924578527063
5416,0.05323868677905945
5446,0.1064773735581189
9001,1.5971606033717833
